person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,pd
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,0.9539092308277013
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.04250560556796862
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.7995410203779298
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.823614022483423
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.8221823242367824
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.031923034138998295
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.5383821846627679
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.7184395986393385
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.4323680663669656
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.3569368203378382
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.48154950973041644
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.4468800488004359
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.2698495613415954
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.7457082030406257
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.10339955142322507
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.04292066630924292
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.10574121350910362
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.8975692358280721
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.8358555516697805
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.10012459008975995
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.038346957158228154
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.6161479603004013
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.9430705130683472
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.0330372291865512
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.9441332220591163
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.784185520686503
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.9295082263734579
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.03352121569653617
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.729818044000906
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.8368422877353905
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.1270394606978903
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.08441744599077303
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.6829655553828478
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.1791827522123231
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.026791561233526315
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.03290950683453515
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.9732260310480159
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.9700736477215598
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.966033234894711
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,0.9712859911203404
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.9795979592618035
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.05475143218579819
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.00708511504480831
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.21106317046818798
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.01094686326638991
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.2020700572449504
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.3324850320668358
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.42753360088069137
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.7728870611725581
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.5262662447696715
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,0.9682930555614352
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.983027866992814
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.5847341686380196
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.12967243437253093
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.04220898113428638
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.05456286981937986
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.04940784710318988
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,0.007343291362016396
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.0527912566477429
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,0.3490973545370865
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.04036720392268314
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.004734187108356884
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,0.011537533215949232
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.3158132897404566
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.9391931029141286
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.4619457142513111
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.01940133755973948
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.29247169236411613
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.005021185301560486
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.1575652066132943
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,0.2003110970358453
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,0.6439665777077119
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.08577044943514259
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.44081785148813535
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.3500945240979211
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.23983595865056334
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.13370207988373736
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.5622506339854819
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.4316175992835673
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.9206626921285237
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.06962911965061276
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,0.03378777106419567
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.3159983699966353
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.0408456087768137
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,0.08833800041746741
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,0.16226352716787734
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.1672783917553373
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,0.6227301992871841
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.9041812198289585
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.666340857433359
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,0.013728386198751724
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.9092192867244022
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.6668711795474596
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,0.9217066314707328
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.7694446362344366
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.09447859488177857
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.134803415281275
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.5981222225494829
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.05341998517679098
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.0197384293542872
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.03627172420504694
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.20576910001346024
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.057347448975307316
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.05578015759652861
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.22169295048848517
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,0.07200856023294547
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.07572809816495253
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.7420196774657897
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,0.9803537878017409
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.19917633196268644
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.3999053218069173
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.03855380145823095
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.4031446225458254
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.02650530767702055
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,0.06382664678181126
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.7560125798837416
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.19795171378247256
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.9792839058350824
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.6907462873281929
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.8161769318486126
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,0.4377490176117815
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.9713291461891997
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.6990728146001839
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.26046501139573286
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.017941910826016188
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.032631482392871794
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.015295897549125751
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.6866830943533162
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.7004374307090084
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.6506015831314597
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.9840922514627439
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.596814891770649
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.6124553987713498
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.6527594490227204
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.6563529384215693
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.4299571713999829
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.02028235291856438
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.02191689738883909
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.1857920252362208
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.023987457703554798
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.07495236316650583
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.006533572213336784
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.7723355999945256
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.9823414383688491
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.6840418295884613
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.9814094226969472
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.9647036636532565
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.07298139140696859
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.4490027414906997
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.012801398320707766
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.01254590835632994
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.9712782642637975
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,0.6226674169772196
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,0.9733056354436833
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.6426009739097364
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.9511972652069293
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.7080854756178411
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.8415330652632326
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.02988675203110449
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.2669271580230837
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.9247876822449617
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.6999988168814532
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.6928311926116962
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.9752576393737833
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,0.8173078329457155
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.08341816843058211
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.03710888541307648
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.02301819861836115
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.9803206211041371
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.7353977763325991
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.6498216129747937
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.6052657626917914
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.8208404425408606
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.975518141555627
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2,0.009932638929550184
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.07230954569209137
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.006836502369928276
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.02469760169924536
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.04411855611414116
